99.737,885.23,8853.3,6.3888,1,1
99.722,884.99,8898.4,6.661,2,1
98.778,884.01,8523.2,6.4978,3,1
99.208,883.54,7597.9,5.9161,4,1
99.177,883.34,6425.4,5.8661,5,1
98.608,882.62,5161,7.5046,6,1
99.037,881.23,3110.2,6.228,7,1
100.32,877.48,505.33,5.6921,8,1
104.13,896.96,5232.3,8.7871,1,2
103.95,897.01,5231.5,9.6156,2,2
104.01,896.91,5006.6,10.298,3,2
104.15,897.15,4879.9,9.6907,4,2
104.44,897.27,4066.2,10.237,5,2
103.83,897.86,4210.9,10.82,6,2
102.15,898.36,4155.2,11.462,7,2
102.28,898.03,3856.7,11.885,8,2
177.66,874.99,2611,4.7082,1,3
178.06,875.59,1624.5,3.7289,2,3
177.87,874.88,550.85,2.5134,3,3
191.23,912.76,394.13,3.3349,1,4
191.24,912.76,916.45,3.7598,2,4
191.24,913.14,916.2,5.085,3,4
191.06,913.05,894.06,3.4845,4,4
191.32,912.65,1140,3.5087,5,4
191.56,912.47,1065.7,5.3068,6,4
191.49,912.33,978.8,4.3691,7,4
191.49,911.95,1019.8,5.9614,8,4
190.84,911.27,696.37,4.5818,9,4
191.52,911.44,292.74,2.7261,10,4
190.82,910.71,319.16,7.7516,11,4
190,911,30.341,0.5,12,4
235.62,909.59,832.2,3.1847,1,5
235.55,909.81,1224.1,2.8961,2,5
235.35,909.66,1447.2,5.2577,3,5
235.18,909.53,1840.8,3.4369,4,5
235.1,909.35,2462.2,3.9746,5,5
235.06,909.44,2649.5,4.0146,6,5
234.99,909.37,2653.1,5.3205,7,5
235.05,909.22,2840.2,4.1723,8,5
234.98,908.96,3013.6,4.6629,9,5
235.08,908.87,3109.3,4.6305,10,5
235,908.7,3019.4,4.616,11,5
234.93,908.5,2984.2,4.2374,12,5
235.13,907.54,3035.9,3.982,13,5
234.52,908.03,3005.1,4.1364,14,5
235.13,908.24,2738.5,4.0199,15,5
235.13,908.44,2068.3,4.7408,16,5
233.9,908.47,1577.4,4.5883,17,5
233.76,908.25,1144.5,2.9574,18,5
232.87,907.73,400.47,2.1478,19,5
237.01,882.26,5440.1,6.1005,1,6
236.85,882.28,5886.7,6.0538,2,6
236.81,882.34,6426,6.1585,3,6
236.57,882.34,6979.6,5.9122,4,6
236.32,882.26,7342.9,6.3037,5,6
