96.913,362.08,1916.8,5.8558,1
104.18,357.44,3222.6,6.3219,1
108.94,388.66,4375.6,10.652,1
110.34,928.85,1625.5,6.2093,1
112.5,352.55,2665.1,3.6453,1
116.42,917.24,1437.6,7.642,1
125.77,160.31,961.02,4.44,1
128.04,80.698,2104.6,5.0203,1
130.77,100.12,3326.6,5.1893,1
129.9,167.69,871.42,4.3864,1
135.31,677.67,98.831,1.1647,1
136.72,369.39,4029.1,11.728,1
143.25,927.06,634.63,22.535,1
141.19,685.31,369.25,1.8059,1
141.54,706,71.662,1.4283,1
144.94,666.37,2824.7,5.0245,1
145.6,936.98,481.87,2.3068,1
145.79,926.26,1733.6,5.2976,1
150.14,910.93,990.27,15.495,1
154.45,920.8,10022,13.705,1
157.66,889.68,100.08,1.1384,1
164.49,85.725,3123.6,6.5691,1
164.43,120.52,2947.7,7.5326,1
166.97,326.54,2885.9,4.7191,1
171.73,125.91,1346.8,5.3564,1
178.66,154.15,1124.6,3.7497,1
199.27,886.65,1000.6,3.0836,1
206.24,932.67,1099.3,3.8167,1
212.36,914.84,2233.2,6.0715,1
225.31,350.06,3014.3,4.8692,1
240.8,607.63,1987.7,5.2217,1
243.63,589.9,10651,10.434,1
245.05,614.66,1885,5.1872,1
246.21,337.29,5700.4,5.9987,1
247.1,323.32,2937.7,4.1547,1
249.65,305.82,7089,12.855,1
253.71,585.31,5708,13.68,1
253.85,296.43,2964.6,8.1858,1
258.29,584.43,6694.4,8.7859,1
263.25,312.29,985.78,19.473,1
265.06,314.39,2089.4,7.4873,1
264.25,623.29,2326.5,5.7358,1
272.49,303.3,2979.1,10.934,1
271.43,643.4,2047.9,3.6351,1
272.15,310.18,253.59,25.255,1
278.64,595.83,2986.8,4.9907,1
278.78,609.73,379.12,13.59,1
281.14,605.04,2186,5.7359,1
316,337,35.019,0.5,1
542.4,651.21,1012.2,4.4473,1
547.65,949.94,1087.7,23.957,1
551.85,928.42,1985,3.9551,1
551.78,953.24,6586.2,10.478,1
552.58,671.02,2533.5,7.7963,1
560.06,610.27,3082.3,10.693,1
566.02,619.18,2471.2,6.5782,1
568.48,952.93,3345,9.6349,1
571.29,609.33,4770,4.6193,1
569.89,951.37,1475.2,19.271,1
573.84,928.34,5609,9.9354,1
576.84,934.16,168.24,26.038,1
578.61,624.34,1127.3,5.2698,1
579.85,587.43,2750.7,4.454,1
582.27,633,717.66,5.641,1
616.06,37.561,3238.1,11.418,1
635.45,898.39,2615.9,3.7733,1
637.04,39.232,768.08,3.6364,1
658.06,22.501,206.58,3.9835,1
1050.4,671.88,557.08,2.17,1
