96.913,362.08,1916.8,5.8558,1,1
97.209,362.82,2426,5.6474,2,1
97.12,363.09,2728.8,5.5646,3,1
97.698,362.91,3306.2,6.6822,4,1
99.188,363.11,4315.7,10.382,5,1
100.66,363.1,4416.3,11.656,6,1
101.43,363.33,3997.8,11.74,7,1
99.651,363.42,4092,10.358,8,1
100.12,362.51,4397.6,9.8022,9,1
104.18,357.44,3222.6,6.3219,1,2
103.34,357.66,2868.4,7.589,2,2
102.35,357.6,2227.9,5.3735,3,2
102.26,357.94,2238.2,6.2301,4,2
101.22,359.58,3636.8,10.984,5,2
101.77,360.03,3985.9,11.759,6,2
102.23,359.24,3155.3,10.661,7,2
101.81,359.41,2917.4,12.178,8,2
101.55,359.26,3466.4,12.305,9,2
101.78,358.96,4279,10.584,10,2
102.04,358.79,4436,9.8422,11,2
102.64,358.29,3765,8.5307,12,2
102.55,358.05,4811.5,8.0383,13,2
103.33,357.15,4232,6.1255,14,2
103.68,356.93,5139.6,5.9148,15,2
104.01,356.69,5419.3,5.8113,16,2
105.55,356.53,4747.2,7.2938,17,2
105.61,357.08,4710.5,6.7296,18,2
104.93,356.83,3652.8,5.1237,19,2
105.39,356.76,3385.5,4.0599,20,2
105.82,356.47,2941.9,4.5194,21,2
104.95,358.69,1519.1,9.0019,22,2
108.94,388.66,4375.6,10.652,1,3
108.47,389.05,4295.3,11.079,2,3
109.1,389.18,3857.2,11.497,3,3
109.86,389.01,4024.4,10.613,4,3
109.35,388.93,3690.2,9.5147,5,3
110.34,928.85,1625.5,6.2093,1,4
110.04,927.5,709.27,4.1981,2,4
108.89,928.76,1279.4,3.7255,3,4
109.15,926.92,862.47,7.6951,4,4
112.5,352.55,2665.1,3.6453,1,5
112.4,353.08,2877,3.8409,2,5
112.78,353.31,3280,4.1956,3,5
112.81,353.25,3515,4.2449,4,5
113.06,353.28,3189.8,4.2225,5,5
113.73,352.89,2822.6,4.1951,6,5
114.67,354.18,2122.4,4.5627,7,5
114.71,356.6,1967.1,5.2047,8,5
114.82,356.25,1171.9,4.4307,9,5
116.42,917.24,1437.6,7.642,1,6
116.35,917.46,1192.4,4.4018,2,6
114.27,919.17,899.13,6.4698,3,6
111.83,920.54,1377.9,6.6505,4,6
111.72,917.41,375.07,3.3869,5,6
125.77,160.31,961.02,4.44,1,7
126.49,162.2,2109.1,7.3487,2,7
126.35,162.03,1544.4,7.553,3,7
129.26,164.73,2150.6,6.3506,4,7
131.63,164.99,1529.3,5.5515,5,7
131.08,167.37,103.21,4.8331,6,7
128.04,80.698,2104.6,5.0203,1,8
128.41,81.386,1101.6,3.3319,2,8
128.41,83.617,789.12,2.4399,3,8
129.01,85.542,285.29,2.6702,4,8
130.77,100.12,3326.6,5.1893,1,9
131.67,100.97,4221,5.4982,2,9
132.14,101.14,4691.1,5.7138,3,9
132.52,101.53,4872.6,7.2566,4,9
132.74,101.86,4843.1,6.3372,5,9
131.66,101.21,4635.7,6.4851,6,9
132.13,102.36,4529,7.3026,7,9
131.65,101.7,4038.2,9.0171,8,9
132.87,100.33,2240.1,8.226,9,9
129.9,167.69,871.42,4.3864,1,10
135.31,677.67,98.831,1.1647,1,11
136.72,369.39,4029.1,11.728,1,12
135.92,369.61,2401.1,9.3921,2,12
135.42,370.33,2309.7,10.318,3,12
135.73,369.63,1279.7,8.776,4,12
137.53,371.77,684.92,2.6238,5,12
143.25,927.06,634.63,22.535,1,13
141.19,685.31,369.25,1.8059,1,14
141.54,706,71.662,1.4283,1,15
